[08-03-2021 :: 21:44:53] [World] [Error] Error decrypting message from client
[08-03-2021 :: 21:45:52] [World] [World Server] Setting to 'ecommons' (22:0)
[08-03-2021 :: 21:45:52] [World] [World Server] Setting to 'ecommons' (22:0)
[08-03-2021 :: 22:19:40] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-03-2021 :: 22:19:40] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-03-2021 :: 22:20:13] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-03-2021 :: 22:20:14] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-04-2021 :: 01:45:02] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 01:45:02] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 01:45:19] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-04-2021 :: 01:45:20] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-04-2021 :: 01:55:31] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 01:57:03] [World] [World Server] Setting to 'eastkarana' (15:0)
[08-04-2021 :: 01:57:04] [World] [World Server] Setting to 'eastkarana' (15:0)
[08-04-2021 :: 10:28:07] [World] [World Server] Setting to 'qeynos' (1:0)
[08-04-2021 :: 10:28:07] [World] [World Server] Setting to 'qeynos' (1:0)
[08-04-2021 :: 12:52:26] [World] [World Server] Setting to 'nro' (34:0)
[08-04-2021 :: 12:52:27] [World] [World Server] Setting to 'nro' (34:0)
[08-04-2021 :: 12:58:22] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 12:58:23] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 15:09:24] [World] [World Server] Setting to 'misty' (33:0)
[08-04-2021 :: 15:09:24] [World] [World Server] Setting to 'misty' (33:0)
[08-04-2021 :: 20:34:52] [World] [World Server] Setting to 'qrg' (3:0)
[08-04-2021 :: 20:34:52] [World] [World Server] Setting to 'qrg' (3:0)
[08-04-2021 :: 20:36:08] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-04-2021 :: 20:36:09] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-04-2021 :: 20:37:45] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 20:37:45] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 20:38:12] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-04-2021 :: 20:38:13] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-04-2021 :: 20:40:04] [World] [World Server] Setting to 'ecommons' (22:0)
[08-04-2021 :: 20:43:51] [World] [World Server] Setting to 'runnyeye' (11:0)
