[08-14-2021 :: 01:48:15] [World] [Error] Error decrypting message from client
[08-14-2021 :: 01:48:46] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:48:46] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:49:06] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:49:07] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:49:42] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:53:48] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:53:58] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:54:10] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:54:23] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:54:48] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:54:56] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:55:04] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:55:11] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:55:17] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:55:23] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:55:31] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:55:42] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:55:51] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:55:57] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:56:54] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:57:02] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:57:08] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:57:19] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:57:49] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:58:00] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:58:15] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:58:27] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 01:58:54] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 01:59:07] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:31:23] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:31:23] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:31:45] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 11:31:46] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 11:36:02] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:41:31] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 11:41:53] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:42:08] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 11:42:36] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 11:59:43] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:36:45] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:36:45] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:40:15] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:40:16] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:40:51] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:41:05] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:42:17] [World] [World Server] Setting to 'qrg' (3:0)
[08-14-2021 :: 21:42:18] [World] [World Server] Setting to 'qrg' (3:0)
[08-14-2021 :: 21:43:14] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:49:25] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:49:29] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:50:10] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:50:14] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:50:23] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:50:30] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:50:57] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:51:01] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:51:12] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:51:18] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:52:35] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:52:51] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:53:07] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:53:39] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:54:00] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:54:14] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:55:10] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:55:39] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:56:12] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:56:37] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:59:09] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:59:29] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 21:59:36] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 21:59:40] [World] [World Server] Setting to 'qeynos' (1:0)
[08-14-2021 :: 22:01:04] [World] [World Server] Setting to 'qcat' (45:0)
[08-14-2021 :: 22:01:50] [World] [World Server] Setting to 'qeynos' (1:0)
